Building, Room, RoomCapacity, XCoord, YCoord
BRB,brb-113,48,42.34868,-71.10133
BRB,brb-121,30,42.34868,-71.10133
BRB,brb-122,35,42.34868,-71.10133
BRB,brb-b25,24,42.34868,-71.10133
CAS,tsai,515,42.35083,-71.10515
CAS,cas-114a,17,42.35083,-71.10515
CAS,cas-114b,17,42.35083,-71.10515
CAS,cas-116,40,42.35083,-71.10515
CAS,cas-201,40,42.35083,-71.10515
CAS,cas-203,50,42.35083,-71.10515
CAS,cas-204a,38,42.35083,-71.10515
CAS,cas-204b,34,42.35083,-71.10515
CAS,cas-208,35,42.35083,-71.10515
CAS,cas-211,112,42.35083,-71.10515
CAS,cas-212,22,42.35083,-71.10515
CAS,cas-213,54,42.35083,-71.10515
CAS,cas-214,35,42.35083,-71.10515
CAS,cas-216,63,42.35083,-71.10515
CAS,cas-218,35,42.35083,-71.10515
CAS,cas-220,32,42.35083,-71.10515
CAS,cas-221,24,42.35083,-71.10515
CAS,cas-222,36,42.35083,-71.10515
CAS,cas-223,28,42.35083,-71.10515
CAS,cas-224,133,42.35083,-71.10515
CAS,cas-225,30,42.35083,-71.10515
CAS,cas-226,58,42.35083,-71.10515
CAS,cas-227,40,42.35083,-71.10515
CAS,cas-228,34,42.35083,-71.10515
CAS,cas-229,43,42.35083,-71.10515
CAS,cas-233,46,42.35083,-71.10515
CAS,cas-235,43,42.35083,-71.10515
CAS,cas-237,45,42.35083,-71.10515
CAS,cas-303a,20,42.35083,-71.10515
CAS,cas-306,45,42.35083,-71.10515
CAS,cas-310,20,42.35083,-71.10515
CAS,cas-312,20,42.35083,-71.10515
CAS,cas-313,112,42.35083,-71.10515
CAS,cas-314,20,42.35083,-71.10515
CAS,cas-315,54,42.35083,-71.10515
CAS,cas-316,20,42.35083,-71.10515
CAS,cas-318,20,42.35083,-71.10515
CAS,cas-320,28,42.35083,-71.10515
CAS,cas-322,24,42.35083,-71.10515
CAS,cas-323a,20,42.35083,-71.10515
CAS,cas-323b,18,42.35083,-71.10515
CAS,cas-324,39,42.35083,-71.10515
CAS,cas-325,24,42.35083,-71.10515
CAS,cas-326,57,42.35083,-71.10515
CAS,cas-327,38,42.35083,-71.10515
CAS,cas-330,24,42.35083,-71.10515
CAS,cas-335,30,42.35083,-71.10515
CAS,cas-415,16,42.35083,-71.10515
CAS,cas-424,18,42.35083,-71.10515
CAS,cas-425,20,42.35083,-71.10515
CAS,cas-426,48,42.35083,-71.10515
CAS,cas-427,18,42.35083,-71.10515
CAS,cas-430,25,42.35083,-71.10515
CAS,cas-502,40,42.35083,-71.10515
CAS,cas-521,16,42.35083,-71.10515
CAS,cas-522,208,42.35083,-71.10515
CAS,cas-530,20,42.35083,-71.10515
CAS,cas-534,18,42.35083,-71.10515
CAS,cas-538,18,42.35083,-71.10515
CAS,cas-b06a,38,42.35083,-71.10515
CAS,cas-b06b,39,42.35083,-71.10515
CAS,cas-b08a,24,42.35083,-71.10515
CAS,cas-b08b,15,42.35083,-71.10515
CAS,cas-b12,121,42.35083,-71.10515
CAS,cas-b18,87,42.35083,-71.10515
CAS,cas-b20,68,42.35083,-71.10515
CAS,cas-b25a,18,42.35083,-71.10515
CAS,cas-b25b,24,42.35083,-71.10515
CAS,cas-b27,25,42.35083,-71.10515
CAS,cas-b36,56,42.35083,-71.10515
CDS,cds-163,24,42.3506,-71.10281
CDS,cds-164,48,42.3506,-71.10281
CDS,cds-262,48,42.3506,-71.10281
CDS,cds-263,48,42.3506,-71.10281
CDS,cds-264,48,42.3506,-71.10281
CDS,cds-265,20,42.3506,-71.10281
CDS,cds-363,24,42.3506,-71.10281
CDS,cds-364,35,42.3506,-71.10281
CDS,cds-365,30,42.3506,-71.10281
CDS,cds-463,24,42.3506,-71.10281
CDS,cds-b62,70,42.3506,-71.10281
CDS,cds-b63,24,42.3506,-71.10281
CDS,cds-b64a,45,42.3506,-71.10281
CDS,cds-b64a-b64b,90,42.3506,-71.10281
CDS,cds-b64b,45,42.3506,-71.10281
CGS,cgs-111a,15,42.35146,-71.11465
CGS,cgs-111b,15,42.35146,-71.11465
CGS,cgs-113,32,42.35146,-71.11465
CGS,cgs-115,32,42.35146,-71.11465
CGS,cgs-117a,16,42.35146,-71.11465
CGS,cgs-117b,16,42.35146,-71.11465
CGS,cgs-121,32,42.35146,-71.11465
CGS,cgs-123,32,42.35146,-71.11465
CGS,cgs-129,605,42.35146,-71.11465
CGS,cgs-311,31,42.35146,-71.11465
CGS,cgs-313,32,42.35146,-71.11465
CGS,cgs-315,32,42.35146,-71.11465
CGS,cgs-321,32,42.35146,-71.11465
CGS,cgs-323,34,42.35146,-71.11465
CGS,cgs-421,34,42.35146,-71.11465
CGS,cgs-423,32,42.35146,-71.11465
CGS,cgs-505,129,42.35146,-71.11465
CGS,cgs-511,149,42.35146,-71.11465
CGS,cgs-515,36,42.35146,-71.11465
CGS,cgs-521,32,42.35146,-71.11465
CGS,cgs-523,34,42.35146,-71.11465
CGS,cgs-525,34,42.35146,-71.11465
CGS,cgs-527,62,42.35146,-71.11465
COM,com-100,30,42.34906,-71.10246
COM,com-101,240,42.34906,-71.10246
COM,com-106,25,42.34906,-71.10246
COM,com-student-lounge,38,42.34906,-71.10246
COM,com-109,25,42.34906,-71.10246
COM,com-111,25,42.34906,-71.10246
COM,com-208,26,42.34906,-71.10246
COM,com-209,75,42.34906,-71.10246
COM,com-210,24,42.34906,-71.10246
COM,com-211,20,42.34906,-71.10246
COM,com-212,24,42.34906,-71.10246
COM,com-213,35,42.34906,-71.10246
COM,com-214,20,42.34906,-71.10246
COM,com-215,38,42.34906,-71.10246
COM,com-217,38,42.34906,-71.10246
COM,com-303,16,42.34906,-71.10246
COM,com-310,16,42.34906,-71.10246
COM,com-317,32,42.34906,-71.10246
COM,com-319,18,42.34906,-71.10246
COM,com-321,20,42.34906,-71.10246
COM,com-323,18,42.34906,-71.10246
COM,com-326b,30,42.34906,-71.10246
COM,com-338,11,42.34906,-71.10246
COM,com-b05,75,42.34906,-71.10246
COM,com-b25,20,42.34906,-71.10246
COM,com-b27,20,42.34906,-71.10246
COM,com-b29,20,42.34906,-71.10246
COM,com-b31,20,42.34906,-71.10246
EOP,eop-258,18,42.35074,-71.11569
EOP,eop-260,20,42.35074,-71.11569
EOP,eop-262,25,42.35074,-71.11569
EOP,eop-264,20,42.35074,-71.11569
EOP,eop-266,20,42.35074,-71.11569
EOP,eop-268,20,42.35074,-71.11569
EOP,eop-269,34,42.35074,-71.11569
EOP,eop-270,16,42.35074,-71.11569
EOP,eop-274,20,42.35074,-71.11569
EOP,eop-276,20,42.35074,-71.11569
EOP,eop-278,20,42.35074,-71.11569
EOP,eop-279,20,42.35074,-71.11569
EPC,epc-101,150,42.35,-71.10783
EPC,epc-102,30,42.35,-71.10783
EPC,epc-201,30,42.35,-71.10783
EPC,epc-202,36,42.35,-71.10783
EPC,epc-203,36,42.35,-71.10783
EPC,epc-204,48,42.35,-71.10783
EPC,epc-205,80,42.35,-71.10783
EPC,epc-206,35,42.35,-71.10783
EPC,epc-207,80,42.35,-71.10783
EPC,epc-208,45,42.35,-71.10783
EPC,epc-209,65,42.35,-71.10783
EPC,epc-b05,40,42.35,-71.10783
FLR,flr-104,200,42.35015,-71.11169
FLR,flr-121,40,42.35015,-71.11169
FLR,flr-122,26,42.35015,-71.11169
FLR,flr-123,45,42.35015,-71.11169
FLR,flr-124,60,42.35015,-71.11169
FLR,flr-152,50,42.35015,-71.11169
FLR,flr-205,90,42.35015,-71.11169
FLR,flr-206,24,42.35015,-71.11169
FLR,flr-207,24,42.35015,-71.11169
FLR,flr-209,24,42.35015,-71.11169
FLR,flr-236,30,42.35015,-71.11169
FLR,flr-237,40,42.35015,-71.11169
FLR,flr-254,40,42.35015,-71.11169
FLR,flr-304,15,42.35015,-71.11169
FLR,flr-338,30,42.35015,-71.11169
FLR,flr-346,30,42.35015,-71.11169
FLR,flr-404d,15,42.35015,-71.11169
FLR,flr-404l,10,42.35015,-71.11169
FLR,flr-405,20,42.35015,-71.11169
FLR,flr-409,15,42.35015,-71.11169
FLR,flr-410,44,42.35015,-71.11169
FLR,flr-411,45,42.35015,-71.11169
FLR,flr-412,20,42.35015,-71.11169
FLR,flr-532,15,42.35015,-71.11169
FRC,frc-122,50,None,None
FRC,frc-220,50,None,None
FRC,frc-222,50,None,None
FRC,frc-l131,40,None,None
FRC,frc-l132,40,None,None
FRC,frc-l137,40,None,None
HAR,har-105,373,42.34975,-71.09974
HAR,har-208,96,42.34975,-71.09974
HAR,har-210,48,42.34975,-71.09974
HAR,har-211,55,42.34975,-71.09974
HAR,har-212,48,42.34975,-71.09974
HAR,har-220,40,42.34975,-71.09974
HAR,har-222,60,42.34975,-71.09974
HAR,har-224,60,42.34975,-71.09974
HAR,har-228,40,42.34975,-71.09974
HAR,har-240,39,42.34975,-71.09974
HAR,har-302,39,42.34975,-71.09974
HAR,har-304,55,42.34975,-71.09974
HAR,har-306,55,42.34975,-71.09974
HAR,har-310,55,42.34975,-71.09974
HAR,har-312,55,42.34975,-71.09974
HAR,har-314,32,42.34975,-71.09974
HAR,har-315,55,42.34975,-71.09974
HAR,har-316,42,42.34975,-71.09974
HAR,har-322,60,42.34975,-71.09974
HAR,har-324,60,42.34975,-71.09974
HAR,har-326,42,42.34975,-71.09974
HAR,har-404,72,42.34975,-71.09974
HAR,har-406,72,42.34975,-71.09974
HAR,har-408,50,42.34975,-71.09974
HAR,har-410,50,42.34975,-71.09974
HAR,har-412,40,42.34975,-71.09974
HAR,har-414,35,42.34975,-71.09974
HAR,har-418,44,42.34975,-71.09974
HAR,har-420,44,42.34975,-71.09974
HAR,har-424,36,42.34975,-71.09974
IEC,iec-b01,20,42.35106,-71.11525
IEC,iec-b03,20,42.35106,-71.11525
IEC,iec-b04,20,42.35106,-71.11525
IEC,iec-b05,20,42.35106,-71.11525
IEC,iec-b06,20,42.35106,-71.11525
IEC,iec-b07,20,42.35106,-71.11525
IEC,iec-b08,20,42.35106,-71.11525
IEC,iec-b09a,22,42.35106,-71.11525
IEC,iec-b09b,20,42.35106,-71.11525
IEC,iec-b10,32,42.35106,-71.11525
IEC,iec-b11,20,42.35106,-71.11525
IEC,iec-b12,20,42.35106,-71.11525
IEC,iec-b13,13,42.35106,-71.11525
IRC,irc-220,23,42.35072,-71.1005
JSC,jsc-107,24,42.35119,-71.10009
JSC,jsc-201,30,42.35119,-71.10009
KCB,kcb-101,203,42.34962,-71.0981
KCB,kcb-102,40,42.34962,-71.0981
KCB,kcb-103,34,42.34962,-71.0981
KCB,kcb-104,42,42.34962,-71.0981
KCB,kcb-106,68,42.34962,-71.0981
KCB,kcb-107,47,42.34962,-71.0981
KCB,kcb-201,20,42.34962,-71.0981
LAW,law-102,110,42.35112,-71.1074
LAW,law-103,125,42.35112,-71.1074
LAW,barristers-hall,90,42.35112,-71.1074
LAW,law-204,40,42.35112,-71.1074
LAW,law-211,115,42.35112,-71.1074
LAW,law-212,65,42.35112,-71.1074
LAW,law-410,60,42.35112,-71.1074
LAW,law-414,105,42.35112,-71.1074
LAW,law-418,40,42.35112,-71.1074
LAW,law-605,90,42.35112,-71.1074
LAW,law-aud,396,42.35112,-71.1074
MCS,mcs-b29,45,42.34919,-71.10421
MCS,mcs-b31,45,42.34919,-71.10421
MCS,mcs-b33,35,42.34919,-71.10421
MCS,mcs-b37,42,42.34919,-71.10421
MOR,mor-101,685,42.34915,-71.10092
MUG,mug-203,25,42.35172,-71.10793
MUG,mug-205,42,42.35172,-71.10793
PHO,pho-105,48,42.34942,-71.1063
PHO,pho-115,21,42.34942,-71.1063
PHO,pho-117,90,42.34942,-71.1063
PHO,pho-201,37,42.34942,-71.1063
PHO,pho-202,33,42.34942,-71.1063
PHO,pho-203,85,42.34942,-71.1063
PHO,pho-205,63,42.34942,-71.1063
PHO,pho-206,199,42.34942,-71.1063
PHO,pho-210,82,42.34942,-71.1063
PHO,pho-211,109,42.34942,-71.1063
PHO,pho-305,49,42.34942,-71.1063
PHO,pho-307,60,42.34942,-71.1063
PHO,pho-906,200,42.34942,-71.1063
PRB,prb-146,25,42.34884,-71.10118
PRB,prb-148,32,42.34884,-71.10118
PRB,prb-150,25,42.34884,-71.10118
PRB,prb-459,18,42.34884,-71.10118
PSY,psy-150,20,42.34939,-71.10395
PSY,psy-153,40,42.34939,-71.10395
PSY,psy-210,32,42.34939,-71.10395
PSY,psy-212,25,42.34939,-71.10395
PSY,psy-b33,50,42.34939,-71.10395
PSY,psy-b35,31,42.34939,-71.10395
PSY,psy-b36,20,42.34939,-71.10395
PSY,psy-b37,31,42.34939,-71.10395
PSY,psy-b39,30,42.34939,-71.10395
PSY,psy-b40,19,42.34939,-71.10395
PSY,psy-b41,28,42.34939,-71.10395
PSY,psy-b42,20,42.34939,-71.10395
PSY,psy-b43,28,42.34939,-71.10395
PSY,psy-b45,28,42.34939,-71.10395
PSY,psy-b47,26,42.34939,-71.10395
PSY,psy-b49,26,42.34939,-71.10395
PSY,psy-b50,20,42.34939,-71.10395
PSY,psy-b51,46,42.34939,-71.10395
PSY,psy-b53,44,42.34939,-71.10395
PSY,psy-b55,44,42.34939,-71.10395
PTH,pth-114,75,42.35238,-71.11867
PTH,pth-115,100,42.35238,-71.11867
SAR,sar-101,105,42.34981,-71.102
SAR,sar-102,18,42.34981,-71.102
SAR,sar-103,80,42.34981,-71.102
SAR,sar-104,25,42.34981,-71.102
SAR,sar-220,32,42.34981,-71.102
SAR,sar-300,33,42.34981,-71.102
SAR,sar-504,12,42.34981,-71.102
SAR,sar-610,30,42.34981,-71.102
SAR,sar-b01,20,42.34981,-71.102
SAR,sar-b02,70,42.34981,-71.102
SAR,sar-b08,70,42.34981,-71.102
SCI,sci-109,263,42.3489,-71.10016
SCI,sci-113,131,42.3489,-71.10016
SCI,sci-115,39,42.3489,-71.10016
SCI,sci-117,73,42.3489,-71.10016
SCI,sci-128,24,42.3489,-71.10016
SCI,sci-130,24,42.3489,-71.10016
SCI,sci-134,22,42.3489,-71.10016
SCI,sci-145,13,42.3489,-71.10016
SCI,sci-150,18,42.3489,-71.10016
SCI,sci-153,24,42.3489,-71.10016
SCI,sci-160,24,42.3489,-71.10016
SCI,sci-162,24,42.3489,-71.10016
SCI,sci-268a,20,42.3489,-71.10016
SCI,sci-268b,20,42.3489,-71.10016
SCI,sci-268c,20,42.3489,-71.10016
SCI,sci-268d,20,42.3489,-71.10016
SCI,sci-294,35,42.3489,-71.10016
SCI,sci-303,24,42.3489,-71.10016
SCI,sci-305,24,42.3489,-71.10016
SCI,sci-307,22,42.3489,-71.10016
SCI,sci-309,24,42.3489,-71.10016
SCI,sci-311,30,42.3489,-71.10016
SCI,sci-348a,20,42.3489,-71.10016
SCI,sci-348b,20,42.3489,-71.10016
SCI,sci-407,22,42.3489,-71.10016
SCI,sci-409,22,42.3489,-71.10016
SCI,sci-415,24,42.3489,-71.10016
SCI,sci-427,40,42.3489,-71.10016
SCI,sci-438,22,42.3489,-71.10016
SCI,sci-440,22,42.3489,-71.10016
SCI,sci-442,22,42.3489,-71.10016
SCI,sci-444,22,42.3489,-71.10016
SCI,sci-446,22,42.3489,-71.10016
SCI,sci-448,22,42.3489,-71.10016
SCI,sci-b01,24,42.3489,-71.10016
SCI,sci-b09,24,42.3489,-71.10016
SCI,sci-b11,24,42.3489,-71.10016
SCI,sci-b19,14,42.3489,-71.10016
SCI,sci-b23,81,42.3489,-71.10016
SCI,sci-b58,40,42.3489,-71.10016
SHA,sha-110,104,42.35157,-71.11749
SHA,sha-111,30,42.35157,-71.11749
SHA,sha-201,35,42.35157,-71.11749
SHA,sha-202,35,42.35157,-71.11749
SHA,sha-206,39,42.35157,-71.11749
SHA,sha-210,32,42.35157,-71.11749
SOC,soc-241,35,42.34954,-71.10491
SOC,soc-b57,46,42.34954,-71.10491
SOC,soc-b59,26,42.34954,-71.10491
SOC,soc-b61,24,42.34954,-71.10491
SOC,soc-b63,44,42.34954,-71.10491
SOC,soc-b65,16,42.34954,-71.10491
SOC,soc-b67,16,42.34954,-71.10491
STH,sth-113,40,42.35073,-71.10766
STH,sth-115,25,42.35073,-71.10766
STH,sth-317,15,42.35073,-71.10766
STH,sth-318,24,42.35073,-71.10766
STH,sth-319,19,42.35073,-71.10766
STH,sth-325,49,42.35073,-71.10766
STH,sth-343,15,42.35073,-71.10766
STH,sth-441,15,42.35073,-71.10766
STH,sth-525,24,42.35073,-71.10766
STH,sth-625,20,42.35073,-71.10766
STH,sth-b19,85,42.35073,-71.10766
STH,sth-b20,35,42.35073,-71.10766
STH,sth-b22,36,42.35073,-71.10766
STH,sth-b23,30,42.35073,-71.10766
STH,sth-b24,80,42.35073,-71.10766
STO,sto-253,30,45.350221,-71.103841
STO,sto-453,36,45.350221,-71.103841
STO,sto-b50,246,45.350221,-71.103841
WED,wed-130,116,42.34987,-71.10085
WED,wed-140,40,42.34987,-71.10085
WED,wed-205,13,42.34987,-71.10085
WED,wed-206,18,42.34987,-71.10085
WED,wed-208,20,42.34987,-71.10085
WED,wed-210,11,42.34987,-71.10085
WED,wed-212,20,42.34987,-71.10085
WED,wed-250,25,42.34987,-71.10085
WED,wed-307,13,42.34987,-71.10085
WED,wed-309,35,42.34987,-71.10085
WED,wed-406,30,42.34987,-71.10085
WED,wed-410,16,42.34987,-71.10085
WED,wed-423,30,42.34987,-71.10085
YAW,yaw-322,22,45.35047,-71.09792
YAW,yaw-440,22,45.35047,-71.09792
YAW,yaw-545,100,45.35047,-71.09792
YAW,yaw-613a,75,45.35047,-71.09792
YAW,yaw-613b,75,45.35047,-71.09792
